candidate_key,wb,exposure_mode,target_median,low_pct,high_pct,user_wb,notes
c001,daylight,percentile,0.38,0.5,99.5,,defaults
c002,daylight,percentile,0.38,0.5,99.5,,defaults
c003,daylight,percentile,0.38,0.5,99.5,,defaults
c004,daylight,percentile,0.38,0.5,99.5,,defaults
c005,daylight,percentile,0.38,0.5,99.5,,defaults
c006,daylight,percentile,0.38,0.5,99.5,,defaults
c007,daylight,percentile,0.38,0.5,99.5,,defaults
c008,daylight,percentile,0.38,0.5,99.5,,defaults
c009,daylight,percentile,0.38,0.5,99.5,,defaults
c010,daylight,percentile,0.38,0.5,99.5,,defaults
c011,daylight,center-midtone,0.18,0.5,99.5,,defaults
c012,daylight,percentile,0.38,0.5,99.5,,defaults
c013,daylight,percentile,0.38,0.5,99.5,,defaults
c014,daylight,percentile,0.38,0.5,99.5,,defaults
c015,daylight,percentile,0.38,0.5,99.5,,defaults
c016,daylight,percentile,0.38,0.5,99.5,,defaults
c017,daylight,percentile,0.38,0.5,99.5,,defaults
c018,daylight,percentile,0.38,0.5,99.5,,defaults
c019,daylight,percentile,0.38,0.5,99.5,,defaults
c020,daylight,percentile,0.38,0.5,99.5,,defaults
c021,daylight,percentile,0.38,0.5,99.5,,defaults
c022,daylight,percentile,0.38,0.5,99.5,,defaults
c023,daylight,percentile,0.38,0.5,99.5,,defaults
c024,daylight,percentile,0.38,0.5,99.5,,defaults
c025,daylight,percentile,0.38,0.5,99.5,,defaults
c026,daylight,percentile,0.38,0.5,99.5,,defaults
c027,daylight,percentile,0.38,0.5,99.5,,defaults
c028,daylight,percentile,0.38,0.5,99.5,,defaults
c029,daylight,percentile,0.38,0.5,99.5,,defaults
c030,daylight,percentile,0.38,0.5,99.5,,defaults
c031,daylight,percentile,0.38,0.5,99.5,,defaults
c032,daylight,percentile,0.38,0.5,99.5,,defaults
c033,daylight,percentile,0.38,0.5,99.5,,defaults
c034,daylight,percentile,0.38,0.5,99.5,,defaults
c035,daylight,percentile,0.38,0.5,99.5,,defaults
c036,daylight,percentile,0.38,0.5,99.5,,defaults
c037,daylight,percentile,0.38,0.5,99.5,,defaults
c038,daylight,percentile,0.38,0.5,99.5,,defaults
c039,daylight,percentile,0.38,0.5,99.5,,defaults
c040,daylight,percentile,0.38,0.5,99.5,,defaults
c041,daylight,percentile,0.38,0.5,99.5,,defaults
c042,daylight,percentile,0.38,0.5,99.5,,defaults
c043,daylight,percentile,0.38,0.5,99.5,,defaults
c044,daylight,percentile,0.38,0.5,99.5,,defaults
c045,daylight,percentile,0.38,0.5,99.5,,defaults
c046,daylight,percentile,0.38,0.5,99.5,,defaults
c047,daylight,percentile,0.38,0.5,99.5,,defaults
c048,daylight,percentile,0.38,0.5,99.5,,defaults
c049,daylight,percentile,0.38,0.5,99.5,,defaults
c050,daylight,percentile,0.38,0.5,99.5,,defaults
c051,daylight,percentile,0.38,0.5,99.5,,defaults
c052,daylight,percentile,0.38,0.5,99.5,,defaults
c053,daylight,percentile,0.38,0.5,99.5,,defaults
c054,daylight,percentile,0.38,0.5,99.5,,defaults
c055,daylight,percentile,0.38,0.5,99.5,,defaults
c056,daylight,percentile,0.38,0.5,99.5,,defaults
c057,daylight,percentile,0.38,0.5,99.5,,defaults
c058,daylight,percentile,0.38,0.5,99.5,,defaults
c059,daylight,percentile,0.38,0.5,99.5,,defaults
c060,daylight,percentile,0.38,0.5,99.5,,defaults
c061,daylight,percentile,0.38,0.5,99.5,,defaults
c062,daylight,percentile,0.38,0.5,99.5,,defaults
c063,daylight,percentile,0.38,0.5,99.5,,defaults
c064,daylight,percentile,0.38,0.5,99.5,,defaults
c065,daylight,percentile,0.38,0.5,99.5,,defaults
